_*0 0:00 |the georgia association of the deaf hosted its first ever| 8LCX_1ayqzA
_*1 0:03 |literacy benefit gala in buckhead this weekend dozens have educators students| 8LCX_1ayqzA
_*2 0:08 |and interpreters turned out to support the fundraiser| 8LCX_1ayqzA
_*3 0:11 |however rosenbloom the newly appointed ceo of the national association for the| 8LCX_1ayqzA
_*4 0:15 deaf 8LCX_1ayqzA
_*5 0:16 |was the keynote speaker but the star of the evening| 8LCX_1ayqzA
_*6 0:20 |was real housewives in atlanta star need league who actually took time to| 8LCX_1ayqzA
_*7 0:24 |participate and a book reading session with an interpreter| 8LCX_1ayqzA
_*8 0:27 |the crowd was also entertained by a parity all the leaks hit show entitled| 8LCX_1ayqzA
_*9 0:31 |the realest death housewives of atlanta| 8LCX_1ayqzA
_*10 0:34 |the event raised two thousand dollars with proceeds benefiting american sign| 8LCX_1ayqzA
_*11 0:38 |language literacy programs| 8LCX_1ayqzA
_*12 0:40 |across the state| 8LCX_1ayqzA
_*13 0:18 |let me tell you something you already know the world ai n't all sunshine and rainbows| mgmVOuLgFB0
_*14 0:23 |it 's a very mean and nasty place ,| mgmVOuLgFB0
_*15 0:25 |and i do n't care how tough you are , it will beat you to your knees and keep you there if you let it .| mgmVOuLgFB0
_*16 0:31 |you , me or nobody is gon na hit as hard as life .| mgmVOuLgFB0
_*17 0:35 |but it ai n't about how hard you hit .| mgmVOuLgFB0
_*18 0:37 |it 's about how hard you can get hit and keep moving forward .| mgmVOuLgFB0
_*19 0:41 |how much you can take and keep moving forward .| mgmVOuLgFB0
_*20 0:44 |that 's how winning is done !| mgmVOuLgFB0
_*21 0:48 |pain is temporary .| mgmVOuLgFB0
_*22 0:50 |it may last a minute , or an hour , or a day , or even a year ,| mgmVOuLgFB0
_*23 0:55 |but eventually it will subside| mgmVOuLgFB0
_*24 0:58 |and something else will take its place .| mgmVOuLgFB0
_*25 1:01 |if i quit , however , it lasts forever .| mgmVOuLgFB0
_*26 1:10 |the margin for error is so small ...| mgmVOuLgFB0
_*27 1:13 |one-half a step too late or early , and you do n't quite make it .| mgmVOuLgFB0
_*28 1:18 |one half-second too slow , too fast , you do n't quite catch it .| mgmVOuLgFB0
_*29 1:22 |the inches we need are everywhere around us .| mgmVOuLgFB0
_*30 1:27 |they 're in every break of the game , every minute , every second .| mgmVOuLgFB0
_*31 1:36 |you got a dream , you got ta protect it .| mgmVOuLgFB0
_*32 1:42 |people ca n't do something themselves they wan na tell you you ca n't do it .| mgmVOuLgFB0
_*33 1:48 |if you want something , go get it . period .| mgmVOuLgFB0
_*34 1:54 |do n't be afraid to fail .| mgmVOuLgFB0
_*35 2:02 |you have to believe that something different can happen .| mgmVOuLgFB0
_*36 2:07 |he who says he can| mgmVOuLgFB0
_*37 2:17 |you just kinda want it .| mgmVOuLgFB0
_*38 2:28 |our deepest fear is not that we are inadequate .| mgmVOuLgFB0
_*39 2:31 |our deepest fear is that we are powerful beyond measure .| mgmVOuLgFB0
_*40 2:35 |it is our light not our darkness that most frightens us .| mgmVOuLgFB0
_*41 2:40 |you have to dig deep down , dig deep down and ask yourselves ,| mgmVOuLgFB0
_*42 2:44 |who do you want to be ?| mgmVOuLgFB0
_*43 2:46 |figuring out for yourselves what makes you happy ,| mgmVOuLgFB0
_*44 2:49 |no matter how crazy it may sound to other people .| mgmVOuLgFB0
_*45 2:53 |make a choice .| mgmVOuLgFB0
_*46 2:55 |just decide ,| mgmVOuLgFB0
_*47 3:01 |just decide .| mgmVOuLgFB0
_*48 3:04 |why not ?| mgmVOuLgFB0
_*49 3:05 |why ca n't i be mvp of the league ?| mgmVOuLgFB0
_*50 3:08 |why ca n't i be the best player in the league ?| mgmVOuLgFB0
_*51 3:32 |what is it you said to the kid ?| mgmVOuLgFB0
_*52 3:34 |it ai n't about how hard you hit .| mgmVOuLgFB0
_*53 3:36 |it 's about how hard you can get hit and keep moving forward . how much you can take and keep moving forward .| mgmVOuLgFB0
_*54 3:45 |get up .| mgmVOuLgFB0
_*55 3:47 |get up .| mgmVOuLgFB0
_*56 3:49 |get up and do n't ever give up .| mgmVOuLgFB0
_*57 3:56 |and we can stay here , get the shit kicked out of us ...| mgmVOuLgFB0
_*58 4:00 or mgmVOuLgFB0
_*59 4:01 |we can fight our way back into the light .| mgmVOuLgFB0
_*60 4:06 |we can climb out of hell ...| mgmVOuLgFB0
_*61 4:10 |... one inch at a time .| mgmVOuLgFB0
_*62 4:13 |to be able at any moment| mgmVOuLgFB0
_*63 4:16 |sacrifice what you are for what you will become .| mgmVOuLgFB0
_*64 4:22 |most of you wo n't be successful because when you 're studying , and you get tired , you quit .| mgmVOuLgFB0
_*65 4:35 |talent you have naturally .| mgmVOuLgFB0
_*66 4:36 |skill is only developed by hours and hours and hours of beating on your craft .| mgmVOuLgFB0
_*67 4:48 |do n't cry to quit , cry to keep going .| mgmVOuLgFB0
_*68 4:52 |you already in pain , you already hurt . get a reward from it .| mgmVOuLgFB0
_*69 4:57 |if you know what you 're worth , go and get what you 're worth !| mgmVOuLgFB0
_*70 5:00 |but you got ta be willing to take the hits ,| mgmVOuLgFB0
_*71 5:02 |and not pointing fingers saying you ai n't where you wan na be because of him or her or anybody !| mgmVOuLgFB0
_*72 5:07 |cowards do that , and that ai n't you !| mgmVOuLgFB0
_*73 5:09 |you 're better than that !| mgmVOuLgFB0
_*74 5:11 |every day is a new day .| mgmVOuLgFB0
_*75 5:14 |every moment is a new moment .| mgmVOuLgFB0
_*76 5:16 |now you 've got to go out and show them that you 're a new creature .| mgmVOuLgFB0
_*77 5:19 |now !| mgmVOuLgFB0
