_*617 0:33 |everyone needs compassion| ICqFBBQjuQ8
_*618 0:36 |a love that 's never failing| ICqFBBQjuQ8
_*619 0:40 |let mercy fall on me| ICqFBBQjuQ8
_*620 0:44 |everyone needs forgiveness| ICqFBBQjuQ8
_*621 0:48 |a kindness of a savior| ICqFBBQjuQ8
_*622 0:52 |the hope of nations| ICqFBBQjuQ8
_*623 1:01 savior ICqFBBQjuQ8
_*624 1:03 |he can move the mountains| ICqFBBQjuQ8
_*625 1:07 |my god is mighty to save| ICqFBBQjuQ8
_*626 1:10 |he is mighty to save| ICqFBBQjuQ8
_*627 1:14 |forever , author of salvation| ICqFBBQjuQ8
_*628 1:19 |he rose and conquered the grave| ICqFBBQjuQ8
_*629 1:22 |jesus conquered the grave| ICqFBBQjuQ8
_*630 1:40 |so take me as you find me| ICqFBBQjuQ8
_*631 1:43 |all my fears and failures| ICqFBBQjuQ8
_*632 1:47 |fill my life again| ICqFBBQjuQ8
_*633 1:52 |i give my life to follow| ICqFBBQjuQ8
_*634 1:55 |everything i believe in| ICqFBBQjuQ8
_*635 2:00 |now i surrender| ICqFBBQjuQ8
_*636 2:05 |yes , i surrender| ICqFBBQjuQ8
_*637 2:09 savior ICqFBBQjuQ8
_*638 2:10 |he can move the mountains| ICqFBBQjuQ8
_*639 2:14 |my god is mighty to save| ICqFBBQjuQ8
_*640 2:18 |he is mighty to save| ICqFBBQjuQ8
_*641 2:21 |forever , author of salvation| ICqFBBQjuQ8
_*642 2:26 |he rose and conquered the grave| ICqFBBQjuQ8
_*643 2:30 |jesus conquered the grave| ICqFBBQjuQ8
_*644 2:34 |shine your light and| ICqFBBQjuQ8
_*645 2:36 |let the whole world see| ICqFBBQjuQ8
_*646 2:39 |we 're singing for the glory| ICqFBBQjuQ8
_*647 2:42 |of the risen king , jesus| ICqFBBQjuQ8
_*648 2:46 |shine your light and| ICqFBBQjuQ8
_*649 2:48 |let the whole world see| ICqFBBQjuQ8
_*650 2:51 |we 're singing for the glory| ICqFBBQjuQ8
_*651 2:54 |of the risen king| ICqFBBQjuQ8
_*652 2:58 savior ICqFBBQjuQ8
_*653 3:00 |he can move the mountains| ICqFBBQjuQ8
_*654 3:04 |my god is mighty to save| ICqFBBQjuQ8
_*655 3:07 |he is mighty to save| ICqFBBQjuQ8
_*656 3:11 |forever , author of salvation| ICqFBBQjuQ8
_*657 3:16 |he rose and conquered the grave| ICqFBBQjuQ8
_*658 3:19 |jesus conquered the grave| ICqFBBQjuQ8
_*659 3:23 |you 're my savior| ICqFBBQjuQ8
_*660 3:25 |you can move the mountains| ICqFBBQjuQ8
_*661 3:28 |god , you are mighty to save| ICqFBBQjuQ8
_*662 3:32 |you are mighty to save| ICqFBBQjuQ8
